Edge TPU Compiler version 16.0.384591198
Input: model.tflite
Output: model_edgetpu.tflite

Operator                       Count      Status

LESS_EQUAL                     1          Operation is working on an unsupported data type
EQUAL                          1          Operation is working on an unsupported data type
RESHAPE                        7          Operation is working on an unsupported data type
SELECT_V2                      2          Operation is working on an unsupported data type
SUM                            1          Operation is working on an unsupported data type
BATCH_MATMUL                   3          Operation is working on an unsupported data type
CAST                           2          Operation is working on an unsupported data type
MUL                            1          Operation is working on an unsupported data type
ARG_MAX                        1          Operation is working on an unsupported data type
