Edge TPU Compiler version 16.0.384591198
Input: model.tflite
Output: model_edgetpu.tflite

Operator                       Count      Status

SELECT_V2                      19         Operation is working on an unsupported data type
SUM                            1          Mapped to Edge TPU
ADD                            19         Operation is working on an unsupported data type
ARG_MAX                        1          Operation is working on an unsupported data type
RESHAPE                        19         Mapped to Edge TPU
RESHAPE                        73         Operation is working on an unsupported data type
LESS_EQUAL                     19         Operation is working on an unsupported data type
GATHER                         38         Operation not supported
GATHER                         54         Operation is working on an unsupported data type
